comparison,degradation,metric,ours,baseline,delta_improvement,bootstrap_mean,ci_low,ci_high,significant,raw_p,fdr_q,significant_raw,significant_fdr,scope,sample_count
Ours_vs_Restormer,lowlight,LPIPS,0.13351342832902446,0.13352491556725,1.1487238225527108e-05,-1.3101523899968015e-05,-0.00455121341656195,0.004552902687646563,False,0.9854,0.992013422818792,False,False,source,10000
Ours_vs_Restormer,lowlight,Top1,0.6171875,0.49609375,0.12109375,0.121604296875,0.05078125,0.19140625,True,0.001,0.001875,True,True,source,10000
Ours_vs_Restormer,lowlight,Cosine,0.9859480918385088,0.9693392685148865,0.016608823323622346,0.016581744311808144,0.009735008474672213,0.02464600423700176,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,lowlight,Margin,-0.003520361613482237,-0.0180829968303442,0.014562635216861963,0.014534409196174238,0.008689132871222683,0.021252794557949525,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,noise,PSNR,27.810380263288167,27.977708456632918,-0.16732819334475124,-0.16716034557405046,-0.19653978643412193,-0.1382768710738774,False,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,noise,SSIM,0.9439547334332019,0.9454497566912323,-0.0014950232580304146,-0.0014918593490263446,-0.001906813628738746,-0.0010780758399050684,False,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,noise,LPIPS,0.15897299157222733,0.15775661033694632,-0.0012163812352810055,-0.0012252448262705003,-0.0028006124590319813,0.0003504337841150109,False,0.1308,0.17060869565217393,False,False,source,10000
Ours_vs_Restormer,noise,Top1,0.87109375,0.84375,0.02734375,0.02722734375,0.0,0.05859375,False,0.0858,0.11594594594594596,False,False,source,10000
Ours_vs_Restormer,noise,Cosine,0.9974384419620037,0.9970267449971288,0.0004116969648748636,0.0004134514907374978,-1.617451780475676e-05,0.0008631513454020023,False,0.0552,0.07666666666666666,False,False,source,10000
Ours_vs_Restormer,noise,Margin,0.006215870846062899,0.005861592013388872,0.0003542788326740265,0.0003608080960577354,-0.00027203848003409803,0.0008584037888795137,False,0.2014,0.2538655462184874,False,False,source,10000
Ours_vs_Restormer,rain,PSNR,33.83499704954525,33.168463071402094,0.666533978143157,0.6652042543277138,0.44674484028868794,0.8800181020547834,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,rain,SSIM,0.9810457413550466,0.9783694352954626,0.0026763060595840216,0.0026663235744694247,0.0013133724045474083,0.0040527597942855206,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,rain,LPIPS,0.09026168664604484,0.10706787767230708,0.01680619102626224,0.016772145478832136,0.012461699556752137,0.02135885526122365,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,rain,Top1,0.86328125,0.828125,0.03515625,0.03500078125,-0.0078125,0.078125,False,0.1178,0.15776785714285715,False,False,source,10000
Ours_vs_Restormer,rain,Cosine,0.99731859494932,0.9952011615969241,0.002117433352395892,0.002106720375851728,0.0006677349039819092,0.0037991981022059917,True,0.0016,0.002891566265060241,True,True,source,10000
Ours_vs_Restormer,rain,Margin,0.005370208062231541,0.003595479531213641,0.0017747285310178995,0.0017600405760575086,0.00023494994384236635,0.003442036890191957,True,0.0234,0.034752475247524756,True,True,source,10000
Ours_vs_Restormer,snow,PSNR,25.970776401754378,25.219479771917698,0.7512966298366806,0.751074433974922,0.608623549680186,0.9025582982717711,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,snow,SSIM,0.8866318703221623,0.8812184146372601,0.0054134556849021465,0.005417258410551585,0.0019026956797461025,0.00867250222072471,True,0.001,0.001875,True,True,source,10000
Ours_vs_Restormer,snow,LPIPS,0.29811325983610004,0.32756954278738704,0.029456282951286994,0.02944603025805336,0.024324901421641697,0.03476585079242796,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,snow,Top1,0.4765625,0.39453125,0.08203125,0.082266796875,0.02734375,0.13671875,True,0.0034,0.005730337078651685,True,True,source,10000
Ours_vs_Restormer,snow,Cosine,0.9379540356676443,0.9321486950939288,0.005805340573715512,0.005852082254908601,-0.011733005379755922,0.022929947694137805,False,0.5062,0.5752272727272727,False,False,source,10000
Ours_vs_Restormer,snow,Margin,-0.050006072655378375,-0.0546720629936317,0.004665990338253323,0.004703281307857105,-0.013157364935068472,0.022500475653214363,False,0.6074,0.674888888888889,False,False,source,10000
Ours_vs_DehazeFormer,blur,PSNR,28.766305793860752,28.76321156924898,0.0030942246117717787,0.00553727633604335,-0.15157120869851454,0.1651210717072673,False,0.9682,0.9812837837837837,False,False,source,10000
Ours_vs_DehazeFormer,blur,SSIM,0.9542113754432648,0.9545103718992323,-0.0002989964559674263,-0.0002850989799015224,-0.0015159560192842035,0.0010260909737553443,False,0.6368,0.6985401459854015,False,False,source,10000
Ours_vs_DehazeFormer,blur,LPIPS,0.17042126963133342,0.16399476907463395,-0.006426500556699466,-0.00641559246918041,-0.008634582369995768,-0.004200848120126466,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,blur,Top1,0.734375,0.765625,-0.03125,-0.031552734375,-0.08203125,0.01953125,False,0.2418,0.2972950819672131,False,False,source,10000
Ours_vs_DehazeFormer,blur,Cosine,0.9928329605609179,0.9904142526211217,0.0024187079397961497,0.0024079331424902194,-0.001783526537474245,0.008725265954853961,False,0.3792,0.4375384615384615,False,False,source,10000
Ours_vs_DehazeFormer,blur,Margin,0.0011179116554558277,-0.0012649308191612363,0.002382842474617064,0.002385959130653646,-0.000968906981870532,0.007769762974930922,False,0.2938,0.3497619047619048,False,False,source,10000
Ours_vs_DehazeFormer,haze,PSNR,24.430347102480358,23.383316362164493,1.047030740315865,1.0459895679826867,0.6871411150878247,1.4085692700340249,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,haze,SSIM,0.9070658358978108,0.8937961403280497,0.013269695569761097,0.013264377334201709,0.007298008774523623,0.019556607774575237,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,haze,LPIPS,0.060688256493449444,0.07776133171864785,0.01707307522519841,0.01707974586216478,0.013888716930978262,0.020449132229168752,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,haze,Top1,0.40625,0.36328125,0.04296875,0.042568359375,-0.015625,0.1015625,False,0.163,0.20897435897435898,False,False,source,10000
Ours_vs_DehazeFormer,haze,Cosine,0.9365800096275052,0.9121924258706713,0.02438758375683392,0.02435504081062627,0.009581868224267964,0.0405416332284858,True,0.0008,0.0015584415584415587,True,True,source,10000
Ours_vs_DehazeFormer,haze,Margin,-0.052077385495067574,-0.07315031421057938,0.021072928715511807,0.021024193162025223,0.007219680947673624,0.03593622450912334,True,0.0024,0.004186046511627906,True,True,source,10000
Ours_vs_DehazeFormer,inpainting,PSNR,31.06132587370901,32.32107369912039,-1.259747825411381,-1.2578245389360592,-1.3751158378537949,-1.1462304672967418,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,inpainting,SSIM,0.9737517468165606,0.9786364948377013,-0.004884748021140695,-0.004883249419857748,-0.005436304747126997,-0.004342577583156526,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,inpainting,LPIPS,0.09138968618572108,0.06277864151343238,-0.0286110446722887,-0.028609310326738704,-0.03217786350369352,-0.025206919498759816,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,inpainting,Top1,0.91796875,0.9375,-0.01953125,-0.01928671875,-0.04296875,0.00390625,False,0.1262,0.16657894736842105,False,False,source,10000
Ours_vs_DehazeFormer,inpainting,Cosine,0.9978094978723675,0.9992315506096929,-0.00142205273732543,-0.001413275368581526,-0.002758020965848118,-0.0004884932364802809,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,inpainting,Margin,0.005907365819439292,0.007667409023270011,-0.001760043203830719,-0.001737847006577067,-0.004131360066821799,-0.0002735022746492177,False,0.0008,0.0015584415584415587,True,True,source,10000
Ours_vs_DehazeFormer,lowlight,PSNR,29.659422558888494,28.443151663164564,1.2162708957239303,1.2161781159103895,0.8408771945030367,1.5913504506163034,True,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,lowlight,SSIM,0.9737291198689491,0.9706267646979541,0.003102355170994997,0.0030991304306313395,0.0008363150700461119,0.00540610518073663,True,0.0074,0.011935483870967743,True,True,source,10000
Ours_vs_DehazeFormer,lowlight,LPIPS,0.13351342832902446,0.12234749576600734,-0.011165932563017122,-0.011179627401782636,-0.015701587225157708,-0.006530286800079921,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,lowlight,Top1,0.6171875,0.55078125,0.06640625,0.067219140625,0.0,0.1328125,False,0.0516,0.07233644859813085,False,False,source,10000
Ours_vs_DehazeFormer,lowlight,Cosine,0.9859480918385088,0.9791403317358345,0.006807760102674365,0.006860293545061722,0.0016488123743329198,0.013035262312041596,True,0.0066,0.010760869565217391,True,True,source,10000
Ours_vs_DehazeFormer,lowlight,Margin,-0.003520361613482237,-0.008928845403715968,0.005408483790233731,0.005456538026523777,0.0009667741076555104,0.01041755454498343,True,0.0142,0.02195876288659794,True,True,source,10000
Ours_vs_DehazeFormer,noise,PSNR,27.810380263288167,28.0277847083454,-0.21740444505723389,-0.2170910696984257,-0.2554239633428927,-0.17950547988337898,False,0.0,0.0,True,True,source,10000
Ours_vs_DehazeFormer,noise,SSIM,0.9439547334332019,0.9462040588259697,-0.002249325392767787,-0.002247895349445753,-0.0027998879144433887,-0.0017172219697386027,False,0.0,0.0,True,True,source,10000
