model,step,active_ratio,mean_margin,mean_weight,mean_pos_sim,mean_neg_sim,raw_loss
C1,2710,0.25,0.315253347158432,0.24421946704387665,0.7748088240623474,0.459555447101593,0.2251911759376526
C1,2711,0.125,0.5035806894302368,0.125,0.7643146514892578,0.2607339322566986,0.2356853485107422
C1,2712,0.25,0.3810465931892395,0.1789029836654663,0.8622043132781982,0.48115772008895874,0.13779568672180176
C1,2713,0.0,0.49885299801826477,0.0,0.9241006374359131,0.4252476394176483,0.07589932531118393
C1,2714,0.25,0.5983425378799438,0.14346802234649658,0.7506741881370544,0.1523316204547882,0.24932582676410675
C1,2715,0.25,0.4444179832935333,0.13907486200332642,0.8605327606201172,0.4161147475242615,0.1394672393798828
C1,2716,0.0,0.8383810520172119,0.0,0.8877924680709839,0.04941144585609436,0.11220752447843552
C1,2717,0.375,0.37523549795150757,0.3076164126396179,0.7548208236694336,0.3795853555202484,0.24517914652824402
C1,2718,0.375,0.26544681191444397,0.2418648600578308,0.5404404401779175,0.2749935984611511,0.4595595598220825
C1,2719,0.125,0.5917662382125854,0.037256449460983276,0.8444681167602539,0.25270187854766846,0.1555318534374237
C1,2720,0.0,0.47637349367141724,0.0,0.6375522613525391,0.1611787974834442,0.36244773864746094
C1,2721,0.125,0.23431356251239777,0.125,0.8271610140800476,0.592847466468811,0.17283901572227478
C1,2722,0.125,0.3626248240470886,0.125,0.761839747428894,0.3992149233818054,0.23816023766994476
C1,2723,0.125,0.6278641223907471,0.10350656509399414,0.8053170442581177,0.17745298147201538,0.19468292593955994
C1,2724,0.0,0.5767195820808411,0.0,0.8383351564407349,0.261615514755249,0.1616649031639099
C1,2725,0.0,0.5585782527923584,0.0,0.8992723226547241,0.3406940698623657,0.10072766989469528
C1,2726,0.25,0.3699414134025574,0.21286042034626007,0.8727922439575195,0.5028508901596069,0.1272076964378357
C1,2727,0.125,0.34260183572769165,0.125,0.6276995539665222,0.28509771823883057,0.3723004460334778
C1,2728,0.0,0.6714122295379639,0.0,0.8492814302444458,0.1778692603111267,0.1507185399532318
C1,2729,0.25,0.33449554443359375,0.18366576731204987,0.7075045704841614,0.37300899624824524,0.2924954295158386
C1,2730,0.0,0.44477564096450806,0.0,0.8693474531173706,0.4245718717575073,0.130652517080307
C1,2731,0.0,0.6990490555763245,0.0,0.8767212629318237,0.17767220735549927,0.12327875196933746
C1,2732,0.0,0.5717837810516357,0.0,0.8533819913864136,0.2815982699394226,0.14661796391010284
C1,2733,0.125,0.4640011489391327,0.07330578565597534,0.8066157698631287,0.3426145911216736,0.19338424503803253
C1,2734,0.125,0.3004462718963623,0.03899392485618591,0.8407981395721436,0.540351927280426,0.15920183062553406
C1,2735,0.0,0.5474100112915039,0.0,0.8318265676498413,0.2844166159629822,0.1681734174489975
C1,2736,0.25,0.5649573802947998,0.14287778735160828,0.8505918979644775,0.28563451766967773,0.14940813183784485
