method,degradation,sample_count,view_count,cosine_mean,cosine_std,cosine_ci_low,cosine_ci_high,margin_mean,margin_std,margin_ci_low,margin_ci_high,delta_cosine_mean,delta_cosine_std,delta_cosine_ci_low,delta_cosine_ci_high,recovery_ratio_mean,recovery_ratio_std,recovery_ratio_ci_low,recovery_ratio_ci_high
Degraded,blur,256,256,0.9913953507784754,0.0245387904170064,0.9881638243095949,0.9942355959210545,0.0006752212066203356,0.027703310121235548,-0.0027816271991468965,0.004020945174852386,,,,,,,,
Degraded,haze,256,256,0.7957916457053216,0.34483742644086296,0.7506529881823554,0.8352459493117749,-0.17232674203478382,0.3249345997798747,-0.21599829381921154,-0.1350233853525424,,,,,,,,
Degraded,inpainting,256,256,0.9023649689625017,0.12639095497684608,0.8861924989381805,0.9174848399750772,-0.08080344420159236,0.11754743714308986,-0.09552115814876742,-0.067269314074656,,,,,,,,
Degraded,lowlight,256,256,0.921722698258236,0.08839064732879924,0.9106778526795096,0.9321028220234439,-0.05907395307440311,0.0727860589558627,-0.06803656835108995,-0.05053701286087744,,,,,,,,
Degraded,noise,256,256,0.9689115355722606,0.041393053875137094,0.9636426012788434,0.9738942063006106,-0.017233568476513028,0.03778321825972283,-0.021813149261288346,-0.01271216230816208,,,,,,,,
Degraded,rain,256,256,0.9903962819371372,0.02957466704292848,0.9864717953489162,0.9935373787127901,8.363556116819382e-05,0.0315402616125926,-0.0038493355095852166,0.0035472883493639475,,,,,,,,
Degraded,snow,256,256,0.6164573546211614,0.5097137309617821,0.5550101210130833,0.675613189169917,-0.3502053342581348,0.49723862032230476,-0.410449146124256,-0.29263673944278706,,,,,,,,
Degraded,average,256,1792,0.8838628336907277,0.10119648998678374,0.8718310809104164,0.8963642497024011,-0.09698345503966266,0.09363970809660084,-0.10818634035204013,-0.08571102438092697,,,,,,,,
DFPIR,blur,256,256,0.9930856903083622,0.018949837978447466,0.9905631540925242,0.9953241796174552,0.0012303977273404598,0.021849289339448318,-0.0014272013970185072,0.0038681521022226636,0.0016903395298868418,0.008568522204562995,0.0007606787199620158,0.002864463219884782,-2.142353238172147,9.609158335400515,-3.49309331912644,-1.0946555732931649
DFPIR,haze,256,256,0.8939022675003798,0.24855073493045737,0.8629071077296431,0.9222495896280634,-0.08879176580012427,0.23237808734450224,-0.11809652726769855,-0.06253387408714844,0.09811062179505825,0.27857713031342474,0.063909990342745,0.13299653712156212,-4.007867171570487,59.78865061892717,-11.9098172577499,0.12805888213008723
DFPIR,inpainting,256,256,0.9977852194570005,0.009847982612792449,0.9965038754686247,0.9988229487789795,0.0064719056244939566,0.014223056964167912,0.004835600260412321,0.008123674959642807,0.09542025049449876,0.12560975357079668,0.08037901928619248,0.1111376571207074,0.9516248406734674,0.15105940222192066,0.9304341799993896,0.9683956160125304
DFPIR,lowlight,256,256,0.9636423834599555,0.10082663538565481,0.9504077673744178,0.9749433140270412,-0.02342388895340264,0.07505243531243154,-0.03311556474363897,-0.014805979686207149,0.0419196852017194,0.12725445428598792,0.02570595139695797,0.05703119703102856,-1.229249910681849,17.002021568384247,-3.7687164312924466,0.19910908501363628
DFPIR,noise,256,256,0.9968510484322906,0.006895765963031982,0.9960055907431524,0.9976696457830257,0.005594136193394661,0.015068463155612609,0.003877795033622533,0.007443768432131036,0.027939512860029936,0.03975890703726147,0.023130897636292502,0.032901979621965435,0.8048586488999714,0.48530822710817584,0.7444057563355303,0.8612851376204373
DFPIR,rain,256,256,0.9886293589370325,0.051768992228081914,0.9816561127838213,0.9940380985091906,-0.0023626064648851752,0.05182472259659335,-0.009213335282402113,0.0032906353997532267,-0.0017669230001047254,0.044290888025269634,-0.007670283786137588,0.003014027053723109,-5.8249150930648845,46.03203807367846,-12.276910439997858,-1.661733141494689
DFPIR,snow,256,256,0.9026075209476403,0.2502017633340734,0.8708600642994497,0.930328554722837,-0.08236175412457669,0.2360574776136781,-0.1125039246147935,-0.056030463872775736,0.28615016632647894,0.4333996624340939,0.23569869605080385,0.34016839853920827,0.19209179883038732,2.456247479822555,-0.1410080430367586,0.4536787557495348
DFPIR,average,256,1792,0.9623576412918087,0.0621893735608234,0.9550418723690071,0.969449338416533,-0.0262347965425371,0.05257934293074094,-0.03248700471876873,-0.02009716495496313,0.07849480760108106,0.08327525507053596,0.06840796304138945,0.08911623457298187,0.5819362409865655,1.2555699692441575,0.4101054999526737,0.7151191565150532
FFANet,blur,256,256,0.9900744738988578,0.025632014114319795,0.9867355408379808,0.9930171179759781,-0.0007553745526820421,0.029829798955203025,-0.004567706951638684,0.0029704824730288236,-0.0013208768796175718,0.010345117056694221,-0.002678844833280891,-1.781441969797158e-05,-17.505499165449244,185.7622024514585,-43.95570096753328,-1.0303597454136324
FFANet,haze,256,256,0.8893512799113523,0.2334530950246309,0.8599943472181621,0.9161288048519054,-0.08851627868716605,0.203558345623566,-0.11386271246519755,-0.06516078062122688,0.09355963420603075,0.245130711581109,0.06459040581867156,0.12421863438175927,-1.8301845274699362,25.18433849045623,-5.442818650966868,0.1665894372674312
FFANet,inpainting,256,256,0.9911771088372916,0.02480557093543671,0.9880314850248396,0.9939801128639374,0.00038066180422902107,0.023682944431873316,-0.0025777993083465844,0.0030189913406502436,0.08881213987478986,0.1229889532261828,0.07442781408171868,0.10441716300556435,0.7746633775879539,0.5508122603377259,0.7070206456377133,0.8368747458852135
